iso3,entity_name,region_id,region_name,start_year,end_year,internet_start,internet_end,fertility_start,fertility_end,delta_internet,delta_fertility,movement_quadrant
GRD,Grenada,LCN,Latin America & Caribbean,2000,2024,4.06390799146313,70.16159821,2.441,1.472,66.09769021853687,-0.9689999999999999,right_down
GTM,Guatemala,LCN,Latin America & Caribbean,2000,2024,0.712332904508925,60.22140121,4.583,2.287,59.50906830549108,-2.2960000000000003,right_down
GUY,Guyana,LCN,Latin America & Caribbean,2000,2024,0.6,83.00080109,3.057,2.395,82.40080109,-0.6619999999999999,right_down
HKG,"Hong Kong SAR, China",EAS,East Asia & Pacific,2000,2024,27.8277606812581,95.75536971,1.032,0.841,67.9276090287419,-0.19100000000000006,right_down
HND,Honduras,LCN,Latin America & Caribbean,2000,2024,1.20385599891878,58.62269974,4.289,2.476,57.41884374108122,-1.8129999999999997,right_down
HRV,Croatia,ECS,Europe & Central Asia,2000,2024,6.64488254374396,83.63240029,1.39,1.46,76.98751774625605,0.07000000000000006,right_up
HTI,Haiti,LCN,Latin America & Caribbean,2000,2024,0.231270714628821,47.8614006,4.39,2.625,47.63012988537118,-1.7649999999999997,right_down
HUN,Hungary,ECS,Europe & Central Asia,2000,2024,6.99967635062916,93.77898628,1.32,1.41,86.77930992937084,0.08999999999999986,right_up
IDN,Indonesia,EAS,East Asia & Pacific,2000,2024,0.925563864466858,72.78075544,2.503,2.115,71.85519157553314,-0.3879999999999999,right_down
IND,India,SAS,South Asia,2000,2024,0.527532449930946,64.9434967,3.35,1.962,64.41596425006905,-1.3880000000000001,right_down
IRL,Ireland,ECS,Europe & Central Asia,2000,2024,17.8504672405807,97.18769836,1.89,1.47,79.3372311194193,-0.41999999999999993,right_down
IRN,"Iran, Islamic Rep.",MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,0.934190019959829,85.3404007,1.999,1.684,84.40621068004018,-0.31500000000000017,right_down
ISL,Iceland,ECS,Europe & Central Asia,2000,2024,44.470533824288,98.209198,2.08,1.56,53.738664175712,-0.52,right_down
ISR,Israel,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,20.8737899981674,88.18242225,2.95,2.87,67.3086322518326,-0.08000000000000007,right_down
ITA,Italy,ECS,Europe & Central Asia,2000,2024,23.1108742441037,89.2207202,1.26,1.18,66.1098459558963,-0.08000000000000007,right_down
JAM,Jamaica,LCN,Latin America & Caribbean,2000,2024,3.11577802729967,90.10870361,2.345,1.351,86.99292558270034,-0.9940000000000002,right_down
JOR,Jordan,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,2.62327542156362,95.62244985,3.864,2.604,92.99917442843638,-1.2599999999999998,right_down
JPN,Japan,EAS,East Asia & Pacific,2000,2024,29.9907403589142,85.54153081,1.36,1.15,55.5507904510858,-0.2100000000000002,right_down
KAZ,Kazakhstan,ECS,Europe & Central Asia,2000,2024,0.668594402621264,93.39167254,1.898,2.984,92.72307813737874,1.086,right_up
KEN,Kenya,SSF,Sub-Saharan Africa,2000,2024,0.318059713612037,34.97622513,5.136,3.167,34.658165416387966,-1.9690000000000003,right_down
KGZ,Kyrgyz Republic,ECS,Europe & Central Asia,2000,2024,1.04140114469361,92.0286026,2.4,2.6,90.98720145530639,0.20000000000000018,right_up
KHM,Cambodia,EAS,East Asia & Pacific,2000,2024,0.047022640068885,68.47530365,3.794,2.548,68.42828100993111,-1.246,right_down
KIR,Kiribati,EAS,East Asia & Pacific,2000,2024,1.78522547397736,89.44029999,4.071,3.124,87.65507451602264,-0.9469999999999996,right_down
KNA,St. Kitts and Nevis,LCN,Latin America & Caribbean,2000,2024,5.86281024037522,76.88400269,2.126,1.526,71.02119244962478,-0.5999999999999999,right_down
KOR,"Korea, Rep.",EAS,East Asia & Pacific,2000,2024,44.7,97.89563777,1.48,0.748,53.19563776999999,-0.732,right_down
KWT,Kuwait,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,6.73139576837536,99.74729919,2.887,1.56,93.01590342162464,-1.327,right_down
LAO,Lao PDR,EAS,East Asia & Pacific,2000,2024,0.111044032290124,65.59269714,4.429,2.397,65.48165310770987,-2.0320000000000005,right_down
LBN,Lebanon,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,7.95274373635276,80.63400269,2.6,2.227,72.68125895364724,-0.3730000000000002,right_down
LBR,Liberia,SSF,Sub-Saharan Africa,2000,2024,0.0177027057169472,32.23360062,5.875,3.864,32.21589791428305,-2.011,right_down
LBY,Libya,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,0.187042622337565,81.95449829,2.906,2.298,81.76745566766243,-0.6080000000000001,right_down
LCA,St. Lucia,LCN,Latin America & Caribbean,2000,2024,5.09048334139327,68.20500183,2.207,1.385,63.114518488606734,-0.8219999999999998,right_down
LIE,Liechtenstein,ECS,Europe & Central Asia,2000,2024,36.5152298938015,98.2641983,1.57,1.37,61.74896840619851,-0.19999999999999996,right_down
LKA,Sri Lanka,SAS,South Asia,2000,2024,0.647410010940963,54.59,2.213,1.952,53.94258998905904,-0.2610000000000001,right_down
LSO,Lesotho,SSF,Sub-Saharan Africa,2000,2024,0.211806070361977,51.79660034,3.605,2.664,51.58479426963802,-0.9409999999999998,right_down
LTU,Lithuania,ECS,Europe & Central Asia,2000,2024,6.42706749477765,89.16116293,1.39,1.11,82.73409543522236,-0.2799999999999998,right_down
LUX,Luxembourg,ECS,Europe & Central Asia,2000,2024,22.8873279731211,98.7606147,1.76,1.25,75.8732867268789,-0.51,right_down
LVA,Latvia,ECS,Europe & Central Asia,2000,2024,6.31906208267861,92.70757011,1.25,1.24,86.3885080273214,-0.010000000000000009,right_down
MAC,"Macao SAR, China",EAS,East Asia & Pacific,2000,2024,13.6085897418451,89.82640076,0.933,0.582,76.2178110181549,-0.3510000000000001,right_down
MAR,Morocco,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,0.693791244805455,91.2,2.774,2.208,90.50620875519455,-0.5659999999999998,right_down
MCO,Monaco,ECS,Europe & Central Asia,2000,2024,42.1848634460346,99.04489899,2.082,2.102,56.860035543965395,0.020000000000000018,right_up
MDA,Moldova,ECS,Europe & Central Asia,2000,2024,1.28284641670022,77.3687973,1.496,1.726,76.08595088329977,0.22999999999999998,right_up
MDG,Madagascar,SSF,Sub-Saharan Africa,2000,2024,0.196394691006341,18.67790031,5.665,3.912,18.48150561899366,-1.7530000000000001,right_down
MDV,Maldives,SAS,South Asia,2000,2024,2.2038729393788,85.23999786,2.691,1.56,83.0361249206212,-1.1309999999999998,right_down
MEX,Mexico,LCN,Latin America & Caribbean,2000,2024,5.08138415338066,83.12233799,2.714,1.892,78.04095383661935,-0.8220000000000001,right_down
MHL,Marshall Islands,EAS,East Asia & Pacific,2000,2024,1.53427179624871,65.915802,4.695,2.864,64.38153020375128,-1.8310000000000004,right_down
MKD,North Macedonia,ECS,Europe & Central Asia,2000,2024,2.48556631640066,93.6,1.863,1.4,91.11443368359933,-0.4630000000000001,right_down
MLI,Mali,SSF,Sub-Saharan Africa,2000,2024,0.142545755049184,36.80149841,6.886,5.51,36.65895265495082,-1.3760000000000003,right_down
MLT,Malta,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,13.1137087111024,93.86029816,1.68,1.01,80.7465894488976,-0.6699999999999999,right_down
MNG,Mongolia,EAS,East Asia & Pacific,2000,2024,1.25565200358112,85.12349701,2.2,2.5,83.86784500641888,0.2999999999999998,right_up
MOZ,Mozambique,SSF,Sub-Saharan Africa,2000,2024,0.109592530041641,20.52729988,5.83,4.69,20.41770734995836,-1.1399999999999997,right_down
MRT,Mauritania,SSF,Sub-Saharan Africa,2000,2024,0.192031462434805,45.77939987,5.456,4.625,45.587368407565194,-0.8310000000000004,right_down
MUS,Mauritius,SSF,Sub-Saharan Africa,2000,2024,7.28153511499385,73.30793533,1.99,1.44,66.02640021500616,-0.55,right_down
