region_code,region,source_region_name,year,infant_mortality_per_1000
NAC,North America,North America,2010,6.1
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2011,60.5
SAS,South Asia,South Asia,2011,42.7
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2011,45.0
EAS,East Asia & Pacific,East Asia & Pacific,2011,16.3
LCN,Latin America & Caribbean,Latin America & Caribbean,2011,17.3
ECS,Europe & Central Asia,Europe & Central Asia,2011,9.4
NAC,North America,North America,2011,6.0
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2012,57.2
SAS,South Asia,South Asia,2012,40.8
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2012,43.7
EAS,East Asia & Pacific,East Asia & Pacific,2012,15.3
LCN,Latin America & Caribbean,Latin America & Caribbean,2012,16.9
ECS,Europe & Central Asia,Europe & Central Asia,2012,9.1
NAC,North America,North America,2012,5.9
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2013,55.6
SAS,South Asia,South Asia,2013,38.8
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2013,42.3
EAS,East Asia & Pacific,East Asia & Pacific,2013,14.6
LCN,Latin America & Caribbean,Latin America & Caribbean,2013,16.4
ECS,Europe & Central Asia,Europe & Central Asia,2013,8.8
NAC,North America,North America,2013,5.8
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2014,55.1
SAS,South Asia,South Asia,2014,37.0
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2014,40.9
EAS,East Asia & Pacific,East Asia & Pacific,2014,13.8
LCN,Latin America & Caribbean,Latin America & Caribbean,2014,16.0
ECS,Europe & Central Asia,Europe & Central Asia,2014,8.4
NAC,North America,North America,2014,5.7
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2015,54.2
SAS,South Asia,South Asia,2015,35.2
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2015,39.8
EAS,East Asia & Pacific,East Asia & Pacific,2015,13.3
LCN,Latin America & Caribbean,Latin America & Caribbean,2015,15.6
ECS,Europe & Central Asia,Europe & Central Asia,2015,8.1
NAC,North America,North America,2015,5.7
