year,classification_scenario,country_democracy_n,country_denominator_n,country_democracy_share,observed_democracy_population,observed_population_denominator,observed_democracy_share,gap_observed_pp,gap_lower_pp,gap_upper_pp,gap_observed_sign,gap_lower_sign,gap_upper_sign,common_matched_democracy_n,common_matched_unit_n,common_matched_unit_share,common_matched_gap_pp,world_population_reference,reference_missing_mass,population_coverage_rate,input_panel_sha256,method_contract_sha256
2011,Q2_boundary_autocracy,81,179,0.45251396648044692737430167597765363128491620111732,3257669446.0,7042657450.0,0.46256252971667676382584815338420300422250410603174,1.0048563236229836451546477406549372937587904914420,0.71735527363934811464298797042050506718758201230700,1.3388951336875284440608066844640944875801780237450,positive,positive,positive,80,172,0.46511627906976744186046511627906976744186046511628,-0.25537493530906780346169628948667632193563590845400,7086704141,44046691.0,0.99378460139951819670582181285956410579607403988562,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2011,Q3_boundary_democracy,105,179,0.58659217877094972067039106145251396648044692737430,4099057916.0,7042657450.0,0.58203283989057284051207119267173785372735969147555,-0.45593388803768801583198687807761127530872358987500,-0.81769049788671960840157827162938988449184132173000,-0.19615063783853927898375955758580046409924531029200,negative,negative,negative,103,172,0.59883720930232558139534883720930232558139534883721,-1.6804369411752740883277644537564471854035657361660,7086704141,44046691.0,0.99378460139951819670582181285956410579607403988562,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2012,Q0_three_state,83,179,0.46368715083798882681564245810055865921787709497207,3323933805.0,7095248011.0,0.46847323727751227158618909621649869625677838761597,0.47860864395234447705466381159400370389012926439000,-0.05167940284976128149733712290803128350570939137900,1.0802700973689158452505978801464910431724340357350,positive,negative,positive,82,171,0.47953216374269005847953216374269005847953216374269,-1.1058926465177786893343067526191362222753776126720,7176482165,81234154.0,0.98868050499781322873252064996945477673321856572885,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2012,Q1_midpoint_binary,94,179,0.52513966480446927374301675977653631284916201117318,3720257873.0,7095248011.0,0.52433091376543285711510557090236151295543487098551,-0.08087510390364166279111888741747998937271401876700,-0.67439121968962568037347821977625209686383312261500,0.45755828052905144637445678327827022981431030449900,negative,negative,positive,92,171,0.53801169590643274853801169590643274853801169590643,-1.3680782140999891422906125004071235582576824920920,7176482165,81234154.0,0.98868050499781322873252064996945477673321856572885,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2012,Q2_boundary_autocracy,83,179,0.46368715083798882681564245810055865921787709497207,3323933805.0,7095248011.0,0.46847323727751227158618909621649869625677838761597,0.47860864395234447705466381159400370389012926439000,-0.05167940284976128149733712290803128350570939137900,1.0802700973689158452505978801464910431724340357350,positive,negative,positive,82,171,0.47953216374269005847953216374269005847953216374269,-1.1058926465177786893343067526191362222753776126720,7176482165,81234154.0,0.98868050499781322873252064996945477673321856572885,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2012,Q3_boundary_democracy,103,179,0.57541899441340782122905027932960893854748603351955,4129007645.0,7095248011.0,0.58193986152403150999593719487249647318917376741716,0.65208671106236887668869155428875346416877338976100,-0.00663982434708476589362093812444810709864733760700,1.1253096758715923608543140649300742195794960895070,positive,negative,positive,101,171,0.59064327485380116959064327485380116959064327485380,-0.87034133297696595947060799813046964014695074366400,7176482165,81234154.0,0.98868050499781322873252064996945477673321856572885,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2013,Q0_three_state,82,179,0.45810055865921787709497206703910614525139664804469,3338650068.0,7183100047.0,0.46479236627010048381691432119906821618017204821483,0.66918076108826067219422541599620709287754001701400,0.14264998950700669050842645783075041432055511142500,1.2754800654538135063721247061944189668162286914060,positive,positive,positive,81,171,0.47368421052631578947368421052631578947368421052632,-0.88918442562153056567698893272475732935121623114900,7265404737,82304690.0,0.98867169924053193184136301751636331447504326420019,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2013,Q1_midpoint_binary,92,179,0.51396648044692737430167597765363128491620111731844,3721733716.0,7183100047.0,0.51812360842090328746885682907988598700357208041544,0.41571279739759131671808514262547020873709630970000,-0.17123320927969414990581157328577443959629259412700,0.96159686666711266595788667507789411289938098585400,positive,negative,positive,90,171,0.52631578947368421052631578947368421052631578947368,-0.81921810527809230574589603937982235227437090582400,7265404737,82304690.0,0.98867169924053193184136301751636331447504326420019,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2013,Q2_boundary_autocracy,82,179,0.45810055865921787709497206703910614525139664804469,3338650068.0,7183100047.0,0.46479236627010048381691432119906821618017204821483,0.66918076108826067219422541599620709287754001701400,0.14264998950700669050842645783075041432055511142500,1.2754800654538135063721247061944189668162286914060,positive,positive,positive,81,171,0.47368421052631578947368421052631578947368421052632,-0.88918442562153056567698893272475732935121623114900,7265404737,82304690.0,0.98867169924053193184136301751636331447504326420019,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2013,Q3_boundary_democracy,103,179,0.57541899441340782122905027932960893854748603351955,4150797222.0,7183100047.0,0.57785596676097639768819998449897686633181875268401,0.24369723475685764591497051693679277843327191644600,-0.41091538395529472166818201380146960531879488291000,0.72191469199151209419551623456219894717687869707100,positive,negative,positive,101,171,0.59064327485380116959064327485380116959064327485380,-1.2787308092824771902443290354824303258824522169790,7265404737,82304690.0,0.98867169924053193184136301751636331447504326420019,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2014,Q0_three_state,83,179,0.46368715083798882681564245810055865921787709497207,3396193221.0,7270031581.0,0.46714972048757596724393101367464334815521621872305,0.34625696495871404282885555740846889373391237509800,-0.18419969706322031442593837790524189099395744268500,0.95131775860020882235558409289117118130924119388700,positive,negative,positive,81,171,0.47368421052631578947368421052631578947368421052632,-0.65344900387398222297531968516724413184679918032700,7353532223,83500642.0,0.98864482544336570863218477529203586927696801363428,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2014,Q1_midpoint_binary,92,179,0.51396648044692737430167597765363128491620111731844,3795800616.0,7270031581.0,0.52211611101115517973978935869494677508746849555123,0.81496305642278054381133810413154901712673782327900,0.22209109848650909667528868893343548496504941541300,1.3576085541499382334568111597298485572682480519840,positive,positive,positive,90,171,0.52631578947368421052631578947368421052631578947368,-0.41996784625290307865264307787374354388472939224500,7353532223,83500642.0,0.98864482544336570863218477529203586927696801363428,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2014,Q2_boundary_autocracy,83,179,0.46368715083798882681564245810055865921787709497207,3396193221.0,7270031581.0,0.46714972048757596724393101367464334815521621872305,0.34625696495871404282885555740846889373391237509800,-0.18419969706322031442593837790524189099395744268500,0.95131775860020882235558409289117118130924119388700,positive,negative,positive,81,171,0.47368421052631578947368421052631578947368421052632,-0.65344900387398222297531968516724413184679918032700,7353532223,83500642.0,0.98864482544336570863218477529203586927696801363428,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2014,Q3_boundary_democracy,102,179,0.56983240223463687150837988826815642458100558659218,4140849879.0,7270031581.0,0.56957797677550418883111589058171382928412068475717,-0.02544254591326826772639976864425952968849018350100,-0.67220828090331251603168670720908776741065563354900,0.46330917476011662074983576358732530489254300302200,negative,negative,positive,100,171,0.58479532163742690058479532163742690058479532163743,-1.5217344861922711753679431055713071300674636880260,7353532223,83500642.0,0.98864482544336570863218477529203586927696801363428,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2015,Q0_three_state,81,179,0.45251396648044692737430167597765363128491620111732,2082640676.0,7356234953.0,0.28311231075492811274811385160497877316779607216007,-16.940165572551881462618782437267485811712012895725,-17.262995224146978079880004338108016590784772637893,-16.122706938080360441557711396177493864315486994541,negative,negative,negative,79,171,0.46198830409356725146198830409356725146198830409357,-17.887599333863913871387445248858847829419223193350,7441084771,84849818.0,0.98859711713933382361677707058069477273530714356647,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
2015,Q1_midpoint_binary,94,179,0.52513966480446927374301675977653631284916201117318,3841820769.0,7356234953.0,0.52225367916412715481682902685829969574654503289898,-0.28859856403421189261877329182366171026169782742000,-0.88411831674025966538195454689236358748628293852400,0.25616996932635797294033839503815913898300270482900,negative,negative,positive,92,171,0.53801169590643274853801169590643274853801169590643,-1.5758016742305593721182669048133052791466663007450,7441084771,84849818.0,0.98859711713933382361677707058069477273530714356647,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
