entity_code,entity_name,region,income_group,registry_category,public_collective_noun,midpoint_year,pou_period_start,pou_period_end,obesity_value,obesity_low,obesity_high,pou_source_value,pou_censored,pou_lower,pou_upper,population,obesity_available,pou_available,population_available,comparable_primary,geometry_status,missing_reason,source_release_ids
HUN,Hungary,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,24.782366,23.155591,26.483777,2.5,True,0.0,2.5,9971727,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
IDN,Indonesia,East Asia & Pacific,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,5.1777188,4.7514919,5.6214109,10.9,False,10.9,10.9,249470032,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
IMN,Isle of Man,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,,False,,,84382,False,False,True,False,off_map_no_exact_code,obesity_and_pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
IND,India,South Asia,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,3.8104217,3.5790518,4.0534656,14.2,False,14.2,14.2,1261224954,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
IRL,Ireland,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,24.569295,23.17376,25.950772,2.5,True,0.0,2.5,4580084,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,19.765353,19.119227,20.412403,9.5,False,9.5,9.5,78383598,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,33.846653,31.665927,36.074123,13.6,False,13.6,13.6,32161424,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ISL,Iceland,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,18.746185,16.664892,20.92727,2.5,True,0.0,2.5,319014,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,22.508951,21.220087,23.844133,2.5,True,0.0,2.5,7765800,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ITA,Italy,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,15.700044,14.792301,16.638345,2.5,True,0.0,2.5,60026841,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
