midpoint_year,baseline_year,registry_n,comparable_n,missing_n,R_n,F_n,U_n,O_n,A_n,conditional_n,R_map_share,F_map_share,A_map_share,p_R,p_F,p_U,gap_F_minus_R_pp,population_observed,population_coverage_n,R_population,F_population,A_population,R_population_share,F_population_share,A_population_share,mapped_comparable_n,off_map_comparable_n,off_map_R_n,off_map_F_n,off_map_A_n,input_panel_sha256,method_contract_sha256
2011,2001,217,163,54,30,76,25,32,57,131,0.18404907975460122699386503067484662576687116564417,0.46625766871165644171779141104294478527607361963190,0.34969325153374233128834355828220858895705521472393,0.22900763358778625954198473282442748091603053435115,0.58015267175572519083969465648854961832061068702290,0.19083969465648854961832061068702290076335877862595,35.114503816793893129770992366412213740458015267175,6798692545,163,928084624,4710849101,1159758820,0.13650927996185772510176072390695231828578004919915,0.69290515342755509177095755842861107054224055957806,0.17058556661058718312728171766443661117197939122279,151,12,4,4,4,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2012,2001,217,163,54,28,79,27,29,56,134,0.17177914110429447852760736196319018404907975460123,0.48466257668711656441717791411042944785276073619632,0.34355828220858895705521472392638036809815950920245,0.20895522388059701492537313432835820895522388059701,0.58955223880597014925373134328358208955223880597015,0.20149253731343283582089552238805970149253731343284,38.059701492537313432835820895522388059701492537314,6885470298,163,888513898,4789889024,1207067376,0.12904186054772231333209652021361460820290361522666,0.69565168633307493500714829457826527683323687470796,0.17530645311920275166075518520812011496385951006538,151,12,5,4,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2013,2001,217,163,54,30,78,26,29,55,134,0.18404907975460122699386503067484662576687116564417,0.47852760736196319018404907975460122699386503067485,0.33742331288343558282208588957055214723926380368098,0.22388059701492537313432835820895522388059701492537,0.58208955223880597014925373134328358208955223880597,0.19402985074626865671641791044776119402985074626866,35.820895522388059701492537313432835820895522388060,6971274440,163,954668022,4726595230,1290011188,0.13694311280047669447367216258954223583830103810975,0.67801020755682658219950956341922467766166440006054,0.18504667964269672332681827399123308650003456182970,151,12,5,4,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2014,2001,217,163,54,30,80,26,27,53,136,0.18404907975460122699386503067484662576687116564417,0.49079754601226993865030674846625766871165644171779,0.32515337423312883435582822085889570552147239263804,0.22058823529411764705882352941176470588235294117647,0.58823529411764705882352941176470588235294117647059,0.19117647058823529411764705882352941176470588235294,36.764705882352941176470588235294117647058823529412,7056430365,163,939861879,4877654097,1238914389,0.13319225591195924740057999566187173732564708728618,0.69123534771819433946897596855970674628771738754344,0.17557239636984641313044403577842151638663552517038,151,12,6,3,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2015,2001,217,163,54,30,82,24,27,51,136,0.18404907975460122699386503067484662576687116564417,0.50306748466257668711656441717791411042944785276074,0.31288343558282208588957055214723926380368098159509,0.22058823529411764705882352941176470588235294117647,0.60294117647058823529411764705882352941176470588235,0.17647058823529411764705882352941176470588235294118,38.235294117647058823529411764705882352941176470588,7141157463,163,823643951,5075568217,1241945295,0.11533759831896875790820242273097738581541763715062,0.71074867670930112355653009635925458376914661236059,0.17391372497173011853526748090976803041543575048879,151,12,6,3,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2016,2001,217,163,54,32,79,25,27,52,136,0.19631901840490797546012269938650306748466257668712,0.48466257668711656441717791411042944785276073619632,0.31901840490797546012269938650306748466257668711656,0.23529411764705882352941176470588235294117647058824,0.58088235294117647058823529411764705882352941176471,0.18382352941176470588235294117647058823529411764706,34.558823529411764705882352941176470588235294117647,7225634257,163,926229458,5031990442,1267414357,0.12818659581374380101010418468513967575981613927958,0.69640813014098286098734100374491180117311049777924,0.17540527404527333800255481156994852306707336294118,151,12,6,3,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2017,2001,217,163,54,30,82,24,27,51,136,0.18404907975460122699386503067484662576687116564417,0.50306748466257668711656441717791411042944785276074,0.31288343558282208588957055214723926380368098159509,0.22058823529411764705882352941176470588235294117647,0.60294117647058823529411764705882352941176470588235,0.17647058823529411764705882352941176470588235294118,38.235294117647058823529411764705882352941176470588,7308660133,163,946753609,5101047854,1260858670,0.12953860102554586799801872795608349298515670902384,0.69794569198364993941085753863990763845797780784562,0.17251570699080419259112373340400886855686548313055,151,12,5,4,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2018,2001,217,163,54,26,86,23,28,51,135,0.15950920245398773006134969325153374233128834355828,0.52760736196319018404907975460122699386503067484663,0.31288343558282208588957055214723926380368098159509,0.19259259259259259259259259259259259259259259259259,0.63703703703703703703703703703703703703703703703704,0.17037037037037037037037037037037037037037037037037,44.444444444444444444444444444444444444444444444445,7388062737,163,900880787,5193662006,1293519944,0.12193734935253298188120136966292250368582651086927,0.70298022511229251896375714276774961825828361262331,0.17508242553517449915504148756932787805588987650742,151,12,5,5,2,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2019,2001,217,162,55,25,88,22,27,49,135,0.15432098765432098765432098765432098765432098765432,0.54320987654320987654320987654320987654320987654321,0.30246913580246913580246913580246913580246913580247,0.18518518518518518518518518518518518518518518518519,0.65185185185185185185185185185185185185185185185185,0.16296296296296296296296296296296296296296296296296,46.666666666666666666666666666666666666666666666666,7439614064,162,898972268,5283774987,1256866809,0.12083587404756537919249785428116799151209303913161,0.71022165149237773686750748633995270107333890324233,0.16894247446005688393999465937887930741456805762606,150,12,5,5,2,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2020,2001,217,162,55,28,83,23,28,51,134,0.17283950617283950617283950617283950617283950617284,0.51234567901234567901234567901234567901234567901235,0.31481481481481481481481481481481481481481481481481,0.20895522388059701492537313432835820895522388059701,0.61940298507462686567164179104477611940298507462687,0.17164179104477611940298507462686567164179104477612,41.044776119402985074626865671641791044776119402986,7513248762,162,918548646,5325488270,1269211846,0.12225718528657976039473508384281553221383940115572,0.70881298339739439603024819957372256643510295100755,0.16892983131602584357501671658346190135105764783674,150,12,5,4,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2021,2001,217,162,55,31,79,23,29,52,133,0.19135802469135802469135802469135802469135802469136,0.48765432098765432098765432098765432098765432098765,0.32098765432098765432098765432098765432098765432099,0.23308270676691729323308270676691729323308270676692,0.59398496240601503759398496240601503759398496240602,0.17293233082706766917293233082706766917293233082707,36.090225563909774436090225563909774436090225563910,7576989912,162,947604061,5325055538,1304330313,0.12506339219209455376136443772528016004041896367250,0.70279300881296989642870729481314373432677733780253,0.17214359899493554980992826746157610563280369852497,150,12,5,4,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2022,2001,217,162,55,32,77,24,29,53,133,0.19753086419753086419753086419753086419753086419753,0.47530864197530864197530864197530864197530864197531,0.32716049382716049382716049382716049382716049382716,0.24060150375939849624060150375939849624060150375940,0.57894736842105263157894736842105263157894736842105,0.18045112781954887218045112781954887218045112781955,33.834586466165413533834586466165413533834586466165,7643283718,162,895568362,5311376668,1436338688,0.11717062914869019912522368046419286407549263762657,0.69490769464591004209010575420327475537000600976513,0.18792167620539975878467056533253238055450135260830,150,12,5,4,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2023,2001,217,161,56,28,81,24,28,52,133,0.17391304347826086956521739130434782608695652173913,0.50310559006211180124223602484472049689440993788820,0.32298136645962732919254658385093167701863354037267,0.21052631578947368421052631578947368421052631578947,0.60902255639097744360902255639097744360902255639098,0.18045112781954887218045112781954887218045112781955,39.849624060150375939849624060150375939849624060151,7707746101,161,910163735,5506101370,1291480996,0.11808429118882311248046648650239445659705961816814,0.71435946356427601272902904615280087571218765551810,0.16755624524690087479050446734480466769075272631376,149,12,2,7,3,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
